Depth,Taxa
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Background
0.5,Fragmented hc
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Fragmented hc
0.5,Background
0.5,Background
0.5,Background
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Background
0.5,Background
0.5,Background
0.5,Blurry specimens
0.5,Background
0.5,Background
0.5,Fragmented hc
0.5,Background
0.5,Psectrocladius spp
0.5,Background
0.5,Micropsectra radialis
0.5,Corynoneura spp
0.5,Background
0.5,Blurry specimens
0.5,Heterotrissocladius marcidus
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Background
0.5,Background
0.5,Corynoneura spp
0.5,Background
0.5,Background
0.5,Blurry specimens
0.5,Blurry specimens
0.5,Fragmented hc
0.5,Particles
0.5,Background
0.5,Multiple
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Fragmented hc
0.5,Micropsectra insignilobus
0.5,Particles
0.5,Fragmented hc
0.5,Background
0.5,Fragmented hc
0.5,Multiple
0.5,Fragmented hc
0.5,Background
0.5,Chaoborus mandible
0.5,Fragmented hc
0.5,Fragmented hc
2.5,Psectrocladius spp
2.5,Tanytarsus spp
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Background
2.5,Tanytarsus lugens
2.5,Corynoneura spp
2.5,Tanytarsus lugens
2.5,Micropsectra insignilobus
2.5,Fragmented hc
2.5,Blurry specimens
2.5,Psectrocladius spp
2.5,Heterotrissocladius marcidus
2.5,unsure
2.5,unsure
2.5,Background
2.5,Fragmented hc
2.5,Tanytarsus spp
2.5,Tanytarsus spp
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Tanytarsus spp
2.5,Corynoneura spp
2.5,Background
2.5,Tanytarsus lugens
2.5,Fragmented hc
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Multiple
2.5,Micropsectra insignilobus
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Particles
2.5,Orthocladiinae Diamesinae
2.5,Tanytarsus lugens
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Micropsectra insignilobus
2.5,Fragmented hc
2.5,Background
2.5,Fragmented hc
2.5,Background
2.5,Background
2.5,Multiple
2.5,Background
2.5,Background
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Psectrocladius spp
2.5,Background
2.5,Background
2.5,Tanytarsus lugens
2.5,Fragmented hc
2.5,Multiple
2.5,Multiple
2.5,Corynoneura spp
2.5,Corynoneura spp
2.5,Tanytarsus lugens
2.5,Heterotrissocladius marcidus
2.5,Fragmented hc
2.5,Tanypodinae
2.5,Background
2.5,Background
2.5,unsure
2.5,Fragmented hc
2.5,Background
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Corynoneura spp
2.5,Background
2.5,Background
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Background
2.5,Fragmented hc
2.5,Tanypodinae
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Particles
2.5,Chironomus spp
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Multiple
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Micropsectra insignilobus
2.5,Tanypodinae
2.5,Tanypodinae
2.5,Background
2.5,Background
2.5,Fragmented hc
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Tanytarsus spp
2.5,Background
2.5,Fragmented hc
2.5,Tanytarsus spp
2.5,Background
2.5,Background
2.5,Corynoneura spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Orthocladiinae Diamesinae
2.5,Microtendipes pedellus
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Background
2.5,Orthocladiinae Diamesinae
2.5,Fragmented hc
2.5,Tanytarsus lugens
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Background
2.5,Blurry specimens
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Fragmented hc
2.5,unsure
2.5,Fragmented hc
2.5,Micropsectra insignilobus
2.5,Blurry specimens
2.5,Background
2.5,Fragmented hc
2.5,Background
2.5,Background
2.5,Tanypodinae
2.5,Background
2.5,Chironomus spp
2.5,Micropsectra radialis
2.5,Fragmented hc
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Blurry specimens
2.5,Particles
2.5,Multiple
2.5,Fragmented hc
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Micropsectra radialis
2.5,Psectrocladius spp
2.5,Fragmented hc
2.5,Particles
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Multiple
2.5,Fragmented hc
2.5,Fragmented hc
2.5,Tanypodinae
2.5,Fragmented hc
2.5,Micropsectra radialis
2.5,Multiple
2.5,Corynoneura spp
2.5,Particles
2.5,Fragmented hc
